[[-39.60857190713638, 61.96060708136689], [-25.934256176424764, 31.322025959158456], [-79.09525132565552, 127.56092196686167], [-10.661946447655975, 16.755208542843267], [-92.65816424265725, 150.9575180289038]]
[[-39.03554769271852, 55.649073414607315], [-21.80201134917164, 29.859760663723783], [-73.64118411958827, 118.65790438653998], [-9.992594731733847, 16.78566256540327], [-98.06672933543702, 148.9320690190013]]
[[-44.58233948462684, 69.28893548362817], [-21.743578508407964, 29.090374098110495], [-74.75447265988696, 131.50813055037003], [-9.27742347647316, 13.411130881773833], [-96.80738681426278, 150.79617354591014]]
[[-40.818052448369855, 62.79158481380156], [-19.558772502821473, 35.33442379554519], [-76.9968462668439, 119.01582723952203], [-10.141969572455304, 16.256883247400832], [-94.65838267624952, 157.4869330483281]]
[[-44.46423377865383, 73.2913112368021], [-25.392332234162758, 33.02914985475657], [-80.86978624163142, 126.64331995825862], [-9.488052137836057, 13.488052137836057], [-85.37333505258735, 144.40013072914718]]
[[-37.69707720899669, 61.72829941423252], [-20.348537700574216, 20.39718156414469], [-78.61977740729432, 134.5264843437222], [-10.598121042763127, 16.815810542965274], [-92.94041399756732, 154.2110217014648]]
[[-45.25319110371468, 64.74249703630353], [-19.176433233632057, 26.922952291800378], [-81.13575657964243, 129.13575657964242], [-10.141969572455304, 16.3980691637338], [-92.39353499409309, 136.0616013979812]]
[[-48.47875901445189, 74.3359156544712], [-19.885324871101247, 19.488892097600772], [-78.7753253985818, 121.55328981057731], [-9.162620133382392, 13.384955373046646], [-94.26421749618257, 150.73091030907443]]
[[-37.439352835511585, 49.439352835511585], [-21.272900789238246, 23.272900789238246], [-81.3774775020103, 129.92121416273378], [-9.788462136582005, 16.815810542965274], [-92.56187785039594, 156.2816570554711]]
[[-43.34151853093998, 67.77775343488392], [-19.503598668251545, 23.717005797952297], [-80.96510095903167, 130.01858050663847], [-9.459875270496966, 16.630203478771378], [-88.20766267326154, 142.4035358796851]]
[[-32.253958223253676, 75.86545515453722], [-23.10448793990243, 34.66005205449487], [-78.696056385977, 117.40733579096472], [-8.859838208877896, 14.40313028910845], [-93.97489666180628, 152.802155581208]]
[[-37.783288119062746, 63.17123007252107], [-22.23762655076576, 28.229051171910477], [-80.64458701913205, 129.69007966809173], [-9.614525585955239, 15.129680073130473], [-95.51997978127619, 153.50688308497448]]
[[-49.1535714682497, 70.3871173823658], [-21.5965851210264, 23.49960387634497], [-82.45659882846503, 125.46459835741982], [-10.755208542843267, 16.43235133315716], [-94.50434212844885, 145.95184115872726]]
[[-46.44558099920722, 67.99904930322793], [-19.643815534490795, 33.01324354853468], [-72.5982887092201, 119.2706569867315], [-10.432351333157161, 15.921112901680877], [-89.43882173003924, 139.76926225940588]]
[[-43.78213927306501, 73.87526997565087], [-21.175589499491757, 31.148127697043687], [-77.50390977648584, 115.50652096367176], [-10.108723280203927, 16.661946447655975], [-103.0654823273411, 156.51150017812245]]
