[[-3794.7876020050408, 9055.191164847325], [-3973.9638013939352, 524.3580982726156], [-3123.2654441665463, 1696.0889362080081], [-137.19161814401912, 156.67809632639205], [-25296.454878437893, 640.3355893468425]]
[[-2502.552309161969, 1767.6829939488885], [-1040.958019586595, 208.76423511500346], [-1782.3782720460215, 1355.857599575433], [-82.07968480677405, 424.46940705900016], [-727.8444281194196, 2242.9430906875714]]
[[-400.78031599324487, 171.60314539171458], [-298.80248891756145, 406.06640907837], [-5057.147009463883, 4253.098411036087], [-47.88553919497414, 8692.707418426673], [-734.9103965548431, 2171.334439279315]]
[[-1393.1229119110444, 2241.965927579535], [-99.54228380875733, 156.97544664135376], [-25234.15283115618, 20165.01221409769], [-344.9406678960362, 132.22369953694027], [-446.15020945351836, 863.1623544852208]]
[[-1480.3603736357823, 262.9901702051415], [-481.6465883446506, 335.97326590411365], [-2426.1526555919672, 205607.53412303465], [-140.37774629252763, 1070.3108455106474], [-6316.0317695664135, 3340.88821630107]]
[[-262.0106388121511, 2171.53949162394], [-48.622569662081034, 343.4518560509165], [-1298.3300241030452, 695.8414608630192], [-333.42886873751456, 352.341934705227], [-851.6824983164404, 258.6251423835204]]
[[-729.8408554162078, 1655.8275017184574], [-136.2857565631509, 215.2323313901639], [-1248.6736725922653, 766.3805069130761], [-265.1459350612091, 49.392962956307905], [-573.8486836626748, 1617.1303919965767]]
[[-1652.0432815574839, 1874.9774451997791], [-2378.3560918250473, 3859.0652968529716], [-1033.4816526180382, 400.4517553450825], [-14505.789980432557, 111.48281813784844], [-2191.4361899200467, 17668.600906834545]]
[[-642.6823551888143, 1951.2487505280433], [-3104.3690722472957, 567.4534119899816], [-2049.4285881643405, 1263.1444047733182], [-323.9127913851835, 152.16152748184757], [-1090.5168160162143, 710.6298134514434]]
[[-1533.2608813970758, 963.3703464172751], [-17886.30556504785, 857.5906889045158], [-359.236090320711, 9412.328467951065], [-241.19905971344437, 8204.143873816432], [-1350.7007587375947, 17314.045380215088]]
[[-2562.1599598781268, 945.4544603974527], [-199.63650061645248, 2001.914882368062], [-87752.5768429142, 1001.880372469301], [-365.95167236771556, 309.19635113865775], [-2183.1929838037972, 12276.340443628518]]
[[-994.0979440031491, 1992.6549479744513], [-510.07852498811263, 402.88847594264536], [-37089.50850214985, 2454.842991976447], [-249.70239962771595, 109.16344992965685], [-538.4150346166265, 7827.281097687907]]
[[-2337.2303360810483, 432.51617967653226], [-93.71111188643337, 291.21325272793143], [-394.194753489274, 10500.66854726025], [-195.6066459697342, 697.0370257626585], [-1897.4924160745686, 3669.4175195321423]]
[[-3670.8297998468197, 1004.188885484372], [-296.17847788608276, 458.70214079558417], [-3592.457218759871, 3473.631666405847], [-80.33138397984169, 1146.8393514278025], [-284.65339909326366, 12255.76740635695]]
[[-824.1331132793491, 4882.603896200169], [-472.849207546114, 421.16240725907915], [-1034.1670695561197, 1207.5207661534344], [-659.7785298801587, 474.87023092634314], [-453.01185669164647, 2566.217913528802]]
[[-177.54921598463022, 605.523184263376], [-28142.500169824525, 773.5974013754688], [-2315.1968228470096, 1399.7290607670648], [-569.6218482197833, 167.38447747430823], [-7347.523776691568, 1832.928448099472]]
[[-374.63260337977334, 4770.1028583823345], [-133.870223128655, 336.39461730694535], [-2201.103342574031, 882.258607361782], [-192.38663393138245, 118.82854025192566], [-2611.8250661176767, 81039.77629034556]]
[[-2261.4594737149273, 5017.720341358909], [-102.67867235385451, 391.3441586043821], [-308.75139003770266, 4821.524132556162], [-2862.4934743006893, 207.6266999666566], [-3388.16530319974, 1464.16418724184]]
