2275-[3, 8, 16, 4, 24]-4160-2275
2735-[15, 4, 22, 2, 20]-4880-2735
2735-[15, 4, 22, 2, 20]-4880-2735
2735-[15, 4, 22, 2, 20]-4880-2735
2735-[15, 4, 22, 2, 20]-4880-2735
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2820-[12, 6, 18, 3, 30]-5040-2820
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2900-[14, 5, 25, 4, 15]-5290-2900
2975-[9, 7, 25, 4, 26]-5200-2975
2975-[9, 7, 25, 4, 26]-5200-2975
2975-[9, 7, 25, 4, 26]-5200-2975
2975-[9, 7, 25, 4, 26]-5200-2975
2975-[9, 7, 25, 4, 26]-5200-2975
