2475-[13, 3, 19, 4, 18]-4320-2475
2645-[3, 7, 25, 4, 29]-4270-2645
3080-[14, 5, 24, 3, 29]-5290-3080
3080-[14, 5, 24, 3, 29]-5290-3080
3080-[14, 5, 24, 3, 29]-5290-3080
3080-[14, 5, 24, 3, 29]-5290-3080
3080-[14, 5, 24, 3, 29]-5290-3080
3080-[14, 5, 24, 3, 29]-5290-3080
3080-[14, 5, 24, 3, 29]-5290-3080
3080-[14, 5, 24, 3, 29]-5290-3080
3080-[14, 5, 24, 3, 29]-5290-3080
3080-[14, 5, 24, 3, 29]-5290-3080
3080-[14, 5, 24, 3, 29]-5290-3080
3080-[14, 5, 24, 3, 29]-5290-3080
3080-[14, 5, 24, 3, 29]-5290-3080
3080-[14, 5, 24, 3, 29]-5290-3080
3080-[14, 5, 24, 3, 29]-5290-3080
3080-[14, 5, 24, 3, 29]-5290-3080
3080-[14, 5, 24, 3, 29]-5290-3080
3080-[14, 5, 24, 3, 29]-5290-3080
3080-[14, 5, 24, 3, 29]-5290-3080
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
3100-[14, 5, 23, 4, 29]-5350-3100
